source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[sample type]	characteristics[pooled sample]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[reference channel]	comment[carrier channel]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
SM03p5a_55_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p5a_55_delta4	1	1	run 857	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_55_S5-E11_1_5277.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p5a_55_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p5a_55_delta8	1	1	run 858	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_55_S5-E11_1_5277.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 859	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_56_S5-F1_1_5278.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p5a_56_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p5a_56_delta4	1	1	run 860	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_56_S5-F1_1_5278.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p5a_56_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p5a_56_delta8	1	1	run 861	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_56_S5-F1_1_5278.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 862	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_57_S5-F2_1_5279.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p5a_57_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p5a_57_delta4	1	1	run 863	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_57_S5-F2_1_5279.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p5a_57_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p5a_57_delta8	1	1	run 864	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_57_S5-F2_1_5279.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 865	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_58_S5-F3_1_5280.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p5a_58_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p5a_58_delta4	1	1	run 866	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_58_S5-F3_1_5280.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p5a_58_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p5a_58_delta8	1	1	run 867	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_58_S5-F3_1_5280.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 868	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_59_S5-F4_1_5281.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p5a_59_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p5a_59_delta4	1	1	run 869	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_59_S5-F4_1_5281.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p5a_59_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p5a_59_delta8	1	1	run 870	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_59_S5-F4_1_5281.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 871	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_60_S5-F5_1_5282.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p5a_60_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p5a_60_delta4	1	1	run 872	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_60_S5-F5_1_5282.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p5a_60_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p5a_60_delta8	1	1	run 873	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_60_S5-F5_1_5282.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 874	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_61_S5-F6_1_5283.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p5a_61_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p5a_61_delta4	1	1	run 875	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p5a	1	1	20220908_TIMS06_MCT_SA_HeLa_SM03p5a_Ref10_AID8_61_S5-F6_1_5283.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
