source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[sample type]	characteristics[pooled sample]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[spatial coordinates]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[reference channel]	comment[carrier channel]	comment[lcm microscope model]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[spatial coordinates]
m5C_08_target4	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m5C_08_target4	1	not available	5	run 713	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_08_S5-A8_1_4644.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m5C_08_target8	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m5C_08_target8	1	not available	5	run 714	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_08_S5-A8_1_4644.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
liver_reference_pool	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=pooled;AC=PRIDE:0000902	pooled	not applicable	not applicable	not applicable	not available	1	run 715	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	not applicable	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_09_S5-A9_1_4645.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m5C_09_target4	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m5C_09_target4	1	not available	5	run 716	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_09_S5-A9_1_4645.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m5C_09_target8	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m5C_09_target8	1	not available	5	run 717	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_09_S5-A9_1_4645.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
liver_reference_pool	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=pooled;AC=PRIDE:0000902	pooled	not applicable	not applicable	not applicable	not available	1	run 718	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	not applicable	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_10_S5-A10_1_4646.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m5C_10_target4	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m5C_10_target4	1	not available	5	run 719	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_10_S5-A10_1_4646.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m5C_10_target8	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m5C_10_target8	1	not available	5	run 720	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_10_S5-A10_1_4646.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
liver_reference_pool	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=pooled;AC=PRIDE:0000902	pooled	not applicable	not applicable	not applicable	not available	1	run 721	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	not applicable	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_11_S5-A11_1_4647.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m5C_11_target4	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m5C_11_target4	1	not available	5	run 722	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_11_S5-A11_1_4647.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m5C_11_target8	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m5C_11_target8	1	not available	5	run 723	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_11_S5-A11_1_4647.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
liver_reference_pool	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=pooled;AC=PRIDE:0000902	pooled	not applicable	not applicable	not applicable	not available	1	run 724	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	not applicable	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_12_S5-B1_1_4648.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m5C_12_target4	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m5C_12_target4	1	not available	5	run 725	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_12_S5-B1_1_4648.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m5C_12_target8	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m5C_12_target8	1	not available	5	run 726	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_12_S5-B1_1_4648.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
liver_reference_pool	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=pooled;AC=PRIDE:0000902	pooled	not applicable	not applicable	not applicable	not available	1	run 727	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	not applicable	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_13_S5-B2_1_4649.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m5C_13_target4	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m5C_13_target4	1	not available	5	run 728	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_13_S5-B2_1_4649.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m5C_13_target8	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m5C_13_target8	1	not available	5	run 729	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_13_S5-B2_1_4649.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
liver_reference_pool	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=pooled;AC=PRIDE:0000902	pooled	not applicable	not applicable	not applicable	not available	1	run 730	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	not applicable	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_14_S5-B3_1_4650.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
m5C_14_target4	NT=Mus musculus;AC=NCBITaxon:10090	NT=liver;AC=UBERON:0002107	NT=hepatocyte;AC=CL:0000182	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	C57BL/6J-rj	not available	NT=single cell;AC=PRIDE:0000897	not applicable	laser capture microdissection	m5C_14_target4	1	not available	5	run 731	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	20 eV;59 eV	15 ppm	15 ppm	300	1200	not applicable	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	Leica LMD7	m5C	1	1	20220820_TIMS06_FAS_SA_S720_scDVP_m5C_Ref10_AID8_14_S5-B3_1_4650.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	not available
