source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]
HeLa_1c_120SPD_23	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_23	1	not pooled	23	HeLa_1c_120SPD_23	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_24	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_24	1	not pooled	24	HeLa_1c_120SPD_24	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_25	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_25	1	not pooled	25	HeLa_1c_120SPD_25	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_26	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_26	1	not pooled	26	HeLa_1c_120SPD_26	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_27	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_27	1	not pooled	27	HeLa_1c_120SPD_27	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_28	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_28	1	not pooled	28	HeLa_1c_120SPD_28	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_29	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_29	1	not pooled	29	HeLa_1c_120SPD_29	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_30	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_30	1	not pooled	30	HeLa_1c_120SPD_30	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_31	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_31	1	not pooled	31	HeLa_1c_120SPD_31	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_32	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_32	1	not pooled	32	HeLa_1c_120SPD_32	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_33	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_33	1	not pooled	33	HeLa_1c_120SPD_33	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_34	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_34	1	not pooled	34	HeLa_1c_120SPD_34	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_35	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_35	1	not pooled	35	HeLa_1c_120SPD_35	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_36	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_36	1	not pooled	36	HeLa_1c_120SPD_36	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_37	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_37	1	not pooled	37	HeLa_1c_120SPD_37	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_38	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_38	1	not pooled	38	HeLa_1c_120SPD_38	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_39	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_39	1	not pooled	39	HeLa_1c_120SPD_39	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_40	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_40	1	not pooled	40	HeLa_1c_120SPD_40	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_41	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_41	1	not pooled	41	HeLa_1c_120SPD_41	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_42	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_42	1	not pooled	42	HeLa_1c_120SPD_42	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_43	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_43	1	not pooled	43	HeLa_1c_120SPD_43	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_44	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_44	1	not pooled	44	HeLa_1c_120SPD_44	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_45	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_45	1	not pooled	45	HeLa_1c_120SPD_45	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
